MARCA TEMPORAL;PAÍS;UNIVERSIDAD;OTRA UNIVERSIDAD;GENERO UNIVERSIDAD;¿ESTÁ DE ACUERDO EN QUE SE HAYA MODIFICADO EL MÉTODO DE ESTUDIO PARA LAS CLASES VIRTUALES?;¿ESTÁ DE ACUERDO EN QUE LA CONCENTRACIÓN O ATENCIÓN CON EL ESTUDIO, FUERON ALTERADOS?;¿HA CAMBIADO SU CURIOSIDAD Y MOTIVACIÓN CIENTÍFICA CON LA PANDEMIA?;¿ESTÁ DE ACUERDO EN QUE LOS SENTIMIENTOS (AFECTOS, EMOCIONES) FUERON ALTERADOS POR LA PANDEMIA?;¿CONSIDERA QUE LA SALUD MENTAL PUEDE ALTERAR EL COMPORTAMIENTO EN TODO TIPO DE PERSONA?;¿CONSIDERA QUE SITUACIONES EXTERNAS, PUEDEN DESENCADENAR UN PROBLEMA DE SALUD MENTAL?;ME HE RELACIONADO CON ALGÚN TIPO DE ALTERACIÓN MENTAL EN EL TRANSCURSO DE LA PANDEMIA.;¿CONSIDERA QUE UNA PERSONA CON UNA ALTERACIÓN MENTAL, PUEDE REPRESENTAR UN RIESGO PARA LOS DEMÁS?;¿CONSIDERA QUE EL CONFINAMIENTO LE HA PROPORCIONADO OTRAS ALTERNATIVAS PARA SU NUEVO APRENDIZAJE?;¿ESTÁ DE ACUERDO EN QUE UNA ALTERACIÓN MENTAL, CAUSA RECHAZO SOCIAL?;CONTESTE LA SIGUIENTE PREGUNTA, SOLO SI USTED HA TENIDO UNA ALTERACIÓN EN SU SALUD MENTAL DURANTE LA PANDEMIA Y PUDO HABLAR/COMPARTIR LO QUE LE PASABA(AFECTOS EMOCIONES), CON SUS PARES O SUPERIORES.  ¿EL APOYO EMOCIONAL RECIBIDO DURANTE LA PANDEMIA (POR PARES O SUPERIORES), LE PERMITIÓ MANEJAR SU SALUD MENTAL?;¿CONSIDERA QUE LA PANDEMIA CAMBIÓ SU RENDIMIENTO ACADÉMICO COMO ESTUDIANTE?
2021-06-16 11:12:11.526100;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;5;1;4;1;5;5;2;5;5;2;3;1
2021-06-16 11:12:27.810265;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;3;5;4;4;5;5;4;4;4;5;1;4
2021-06-16 11:16:32.072490;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;5;5;5;5;4;4;5;3;3;5
2021-06-16 11:16:52.510466;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;5;3;5;3;5;5;1;5;5;5;3;3
2021-06-16 11:18:11.773896;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;3;5;3;5;5;5;3;1;5;1;1;5
2021-06-16 11:19:17.247894;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;2;5;5;5;5;5;4;4;3;5;5;5
2021-06-16 11:20:04.678096;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;4;5;3;4;4;4;3;3;1;4;3;3
2021-06-16 11:21:13.290310;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;1;5;5;5;5;5;5;5;5;5;1;5
2021-06-16 11:21:26.551063;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;3;5;1;5;5;5;4;2;4;4;4;5
2021-06-16 11:21:29.670925;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;4;3;4;4;3;1;4;5;5;3;3
2021-06-16 11:22:41.972221;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;4;4;2;4;4;4;4;1;3;2;4;4
2021-06-16 11:24:35.268460;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;1;4;4;5;5;5;3;5;5;5;3;4
2021-06-16 11:26:08.297448;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;3;4;4;4;4;4;2;4;4;2;4;3
2021-06-16 11:29:18.395503;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;4;3;5;5;5;4;5;4;4;4;4
2021-06-16 11:29:58.371371;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;4;5;4;4;5;5;5;2;2;4;2;5
2021-06-16 11:30:58.803490;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;4;5;3;5;5;4;3;4;4;4;4;5
2021-06-16 11:31:00.438139;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;5;5;5;5;5;5;1;5;4;5;1;2
2021-06-16 11:31:32.202290;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;5;5;4;5;4;1;4;4;5;3;4
2021-06-16 11:31:32.771004;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;3;5;5;5;5;5;5;1;1;5;3;3
2021-06-16 11:31:54.266888;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;5;3;4;3;4;3;3;4;3;1;4
2021-06-16 11:35:37.390790;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;4;3;5;5;5;4;4;5;3;3;4
2021-06-16 11:35:42.606232;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;5;2;3;1;4;4;2;2;5;4;3;3
2021-06-16 11:40:52.589451;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;5;5;5;5;5;5;5;5;4;4;2;5
2021-06-16 11:40:54.071620;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;3;3;4;5;5;3;1;2;4;2;3;5
2021-06-16 11:41:37.326653;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;4;3;5;5;4;3;2;4;3;3;4
2021-06-16 11:46:48.749992;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;4;2;5;5;5;4;4;3;2;3;2
2021-06-16 11:47:35.974734;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;5;5;4;3;4;5;2;4;5;3;1;4
2021-06-16 11:56:09.032285;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;5;4;4;5;5;5;4;3;4;3;4;3
2021-06-16 11:57:19.114510;ARGENTINA;UNIVERSIDAD DE LA CUENCA DEL PLATA;;OTRO;5;5;5;5;5;5;5;5;5;5;5;5
2021-06-16 12:03:11.789112;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;1;1;4;4;4;4;4;5;3;4;2
2021-06-16 12:04:34.952464;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;2;5;5;5;5;2;2;4;2;1;5;5
2021-06-16 12:07:41.912926;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;3;5;1;4;5;5;4;3;4;4;4;4
2021-06-16 12:08:38.928824;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;2;5;5;5;5;5;4;5;1;5;1;5
2021-06-16 12:10:06.758734;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;5;3;5;5;5;1;5;4;4;5;5
2021-06-16 12:11:57.640962;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;MASCULINO;2;5;5;5;5;5;5;2;5;2;4;5
2021-06-16 12:13:44.853706;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;5;5;5;5;5;4;4;5;4;4;5
2021-06-16 12:14:05.519092;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;5;5;5;5;5;5;4;3;5;1;3;5
2021-06-16 12:15:16.035311;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;3;5;5;3;5;5;2;4;5;5;3;4
2021-06-16 12:15:19.563225;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;5;4;5;5;4;1;3;5;4;5;5
2021-06-16 12:17:21.779662;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;3;5;4;4;5;4;4;3;5;3;4;5
2021-06-16 12:21:02.671826;ARGENTINA;UNIVERSIDAD CATÓLICA ARGENTINA;;FEMENINO;1;5;3;4;5;4;3;3;4;4;3;4
2021-06-16 12:21:45.380905;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;4;2;4;2;4;5;3;5;4;4;5
2021-06-16 12:22:08.872380;ARGENTINA;UNIVERSIDAD CATÓLICA ARGENTINA;;FEMENINO;4;5;3;5;5;4;4;4;4;4;4;4
2021-06-16 12:25:06.128911;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;5;3;2;3;5;4;4;3;4;4;5;4
2021-06-16 12:25:13.739077;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;4;3;3;2;2;2;2;4;2;1;4
2021-06-16 12:25:21.003604;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;4;3;4;3;4;1;5;5;3;1;1
2021-06-16 12:26:55.063204;ARGENTINA;UNIVERSIDAD CATÓLICA ARGENTINA;;MASCULINO;2;5;3;4;5;5;2;2;4;2;3;2
2021-06-16 12:28:29.229787;ARGENTINA;;UTN FRSN;MASCULINO;5;5;3;5;5;5;1;2;4;4;3;4
2021-06-16 12:28:43.277166;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;5;5;1;5;5;5;2;3;4;3;4;5
2021-06-16 12:31:06.476398;ARGENTINA;;UNIVERSIDAD NACIONAL DE SAN JUAN;FEMENINO;5;5;2;5;5;5;5;3;2;5;5;5
2021-06-16 12:37:48.026075;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;4;4;5;4;4;2;3;4;3;5;3
2021-06-16 12:39:14.367388;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;3;5;5;5;4;3;4;4;4;5
2021-06-16 12:44:21.673253;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;3;4;4;4;4;4;3;4;2;3;2;5
2021-06-16 12:47:16.505993;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;4;5;5;5;4;2;4;4;4;4
2021-06-16 12:50:46.186711;ARGENTINA;UNIVERSIDAD NACIONAL DE CUYO;;FEMENINO;2;5;5;5;5;5;4;5;4;4;4;3
2021-06-16 12:50:55.017382;ARGENTINA;UNIVERSIDAD DE LA CUENCA DEL PLATA;;MASCULINO;4;4;2;1;5;4;1;3;4;3;3;4
2021-06-16 12:51:53.905154;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;4;5;4;4;5;5;3;4;2;4;4;4
2021-06-16 12:52:11.656011;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;5;4;5;5;5;4;4;5;5;3;4
2021-06-16 12:54:23.679228;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;4;4;5;5;5;1;5;4;4;4;4
2021-06-16 13:10:13.464111;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;3;2;4;5;5;5;2;4;4;2;5;4
2021-06-16 13:13:26.535264;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;5;2;4;5;5;5;4;4;5;5;4
2021-06-16 13:25:08.310289;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;4;4;5;5;4;5;3;4;3;5
2021-06-16 13:25:30.787368;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;2;5;4;4;4;4;3;3;2;3;3;5
2021-06-16 13:27:08.753725;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;5;2;5;5;5;1;4;4;3;3;4
2021-06-16 13:27:46.231344;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;5;5;5;3;1;1;1;3;5;2;3;3
2021-06-16 13:33:59.546425;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;4;5;2;4;5;4;3;2;5;4;3;2
2021-06-16 13:34:54.579368;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;2;1;4;5;5;4;3;5;4;3;4;4
2021-06-16 13:39:43.303931;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;3;5;5;5;5;5;5;2;5;2;1;5
2021-06-16 15:54:52.052643;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;3;5;5;5;5;5;5;5;1;4;2;5
2021-06-16 13:39:50.077567;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;4;5;3;5;5;5;3;2;2;5;1;1
2021-06-16 13:41:28.776931;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;5;3;2;5;5;5;5;5;1;5;1;3
2021-06-16 13:44:37.024705;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;5;5;4;5;5;5;4;5;3;5;4;5
2021-06-16 13:49:23.209800;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;2;5;4;5;5;5;5;4;3;5;5;4
2021-06-16 13:49:58.566636;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;2;5;1;5;5;4;1;3;5;5;2;5
2021-06-16 13:51:05.743527;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;MASCULINO;4;4;3;5;5;5;5;1;4;4;3;5
2021-06-16 13:56:23.193512;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;2;5;4;5;5;5;4;5;4;2;3;2
2021-06-16 13:57:58.976175;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;2;4;4;5;5;4;4;4;4;4;4;5
2021-06-16 13:59:38.641008;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;MASCULINO;4;5;5;5;5;4;4;3;4;4;4;5
2021-06-16 14:02:13.673762;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;3;5;5;5;5;5;3;3;3;2;3;5
2021-06-16 14:02:35.538023;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;3;5;4;5;5;5;3;4;2;4;3;5
2021-06-16 14:04:54.639207;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;4;5;5;4;3;5;5;3;3;4;4;4
2021-06-16 14:06:22.387030;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;MASCULINO;4;3;2;3;3;5;3;1;2;2;4;2
2021-06-16 14:10:42.293314;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;5;1;1;1;4;2;1;4;5;4;3;1
2021-06-16 14:11:22.138229;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;4;4;3;5;5;4;2;2;5;4;3;5
2021-06-16 14:16:21.326234;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;5;3;5;5;5;3;5;5;5;5;5
2021-06-16 14:17:17.689920;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;3;5;5;5;5;5;5;5;4;3;5;3
2021-06-16 14:17:56.447401;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;5;3;5;5;4;3;3;4;5;3;5
2021-06-16 14:20:34.530800;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;3;5;5;5;5;5;4;2;1;5;2;5
2021-06-16 14:22:01.400802;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;5;2;5;5;5;5;3;4;5;3;4
2021-06-16 14:25:44.124311;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;5;5;3;4;5;4;1;4;4;3;5;1
2021-06-16 14:27:36.812491;ARGENTINA;UNIVERSIDAD CATÓLICA ARGENTINA;;MASCULINO;1;4;2;4;4;4;3;5;5;1;1;3
2021-06-16 14:28:25.917068;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;5;2;3;4;5;5;4;4;5;4;3;4
2021-06-16 14:31:11.995058;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;3;5;5;5;5;3;3;5;5;3;1;5
2021-06-16 14:31:30.400670;ARGENTINA;;UNIVERSIDAD DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES ;FEMENINO;5;4;4;5;5;5;3;4;5;4;3;5
2021-06-16 14:34:47.846636;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;4;5;4;4;2;2;2;4;3;4
2021-06-16 14:34:51.820818;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;3;1;5;5;5;2;4;5;2;5;2
2021-06-16 14:39:01.725666;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;5;5;5;5;5;1;3;4;4;1;4
2021-06-16 14:40:11.053755;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;5;4;5;5;5;5;2;4;4;1;5
2021-06-16 14:43:28.081587;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;4;4;4;5;5;5;3;4;5;5;5;4
2021-06-16 14:44:27.335698;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;4;4;5;4;3;4;3;3;3;5
2021-06-16 14:46:34.027631;ARGENTINA;;FÍO UNICEN;MASCULINO;3;4;5;4;4;3;3;3;4;3;4;4
2021-06-16 14:47:56.596817;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;5;4;4;4;4;4;3;3;2;4;5
2021-06-16 14:48:16.161564;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;4;3;4;4;4;4;2;3;2;3;5
2021-06-16 14:51:23.353406;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;5;5;4;5;3;1;3;4;4;3;5
2021-06-16 14:53:03.491056;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;3;4;4;4;4;4;2;4;2;4;2;4
2021-06-16 14:53:29.032678;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;5;5;3;3;3;5;1;4;3;2;3;4
2021-06-16 14:54:14.897295;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;1;4;4;5;5;5;4;3;3;3;2;4
2021-06-16 14:56:11.621874;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;4;4;2;5;4;4;4;3;4;2;4;5
2021-06-16 14:57:21.824016;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;4;3;5;5;5;3;4;5;1;3;3
2021-06-16 14:59:42.262626;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;4;2;4;5;4;4;3;5;4;4;4
2021-06-16 15:00:50.610053;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;3;5;5;5;4;3;3;4;4;4;4;5
2021-06-16 15:04:19.794155;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;3;4;5;5;5;5;2;4;4;3;4
2021-06-16 15:06:15.206088;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;5;4;5;5;5;4;5;4;5;4;4
2021-06-16 15:12:25.515872;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;5;4;5;5;5;4;4;5;5;5;5
2021-06-16 15:14:08.123653;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;2;5;5;5;5;5;4;3;4;4;4;5
2021-06-16 15:19:37.676420;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;3;5;5;5;5;5;5;5;3;5;3;5
2021-06-16 15:20:08.634290;COLOMBIA;UNIVERSIDAD LIBRE DE BERLIN;;FEMENINO;5;4;5;5;5;5;5;3;5;5;5;5
2021-06-16 15:21:21.438011;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;2;5;5;5;5;5;3;2;1;5;1;5
2021-06-16 15:22:49.473003;ARGENTINA;UNIVERSIDAD NACIONAL DE CUYO;;FEMENINO;3;1;2;4;3;4;1;2;5;3;3;2
2021-06-16 15:24:33.231411;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;4;5;5;1;5;2;5;5;1;2;3
2021-06-16 15:25:12.570070;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;5;4;5;5;5;5;3;3;4;3;5
2021-06-16 15:25:20.609941;COLOMBIA;;UNIVERSIDAD LIBRE SEDE DEL BOSQUE;MASCULINO;2;4;4;4;4;4;4;3;4;4;4;4
2021-06-16 15:29:11.242234;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;3;4;2;3;4;4;2;3;4;2;3;4
2021-06-16 15:30:42.239183;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;3;3;3;2;3;3;1;3;3;2;3;5
2021-06-16 15:33:02.251135;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;5;5;5;5;5;5;2;3;5;4;5
2021-06-16 15:33:06.260605;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;3;5;3;5;5;4;4;1;3;3;4;3
2021-06-16 15:33:48.560265;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;2;4;4;5;5;5;4;5;4;4;2;1
2021-06-16 15:34:54.711227;COLOMBIA;;UNIVERSIDAD LIBRE DE COLOMBIA ;FEMENINO;4;5;5;5;5;5;3;2;4;5;5;5
2021-06-16 15:37:30.686986;COLOMBIA;;UNIVERSIDAD LIBRE DE COLOMBIA;MASCULINO;2;5;5;5;5;5;4;5;5;4;2;4
2021-06-16 15:41:38.667288;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;3;4;4;5;5;4;2;4;4;4;3;2
2021-06-16 15:41:55.272805;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;1;1;4;4;5;4;4;5;5;5;1
2021-06-16 15:43:23.349681;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;2;5;3;5;5;3;2;2;3;3;1;4
2021-06-17 02:28:42.971192;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;3;3;5;5;4;2;4;4;3;3
2021-06-16 15:43:29.465735;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;5;4;5;2;4;4;1;5;4;5;2
2021-06-16 15:55:43.461596;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;3;5;5;5;5;5;5;5;1;4;3;3
2021-06-16 15:43:53.989680;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;4;3;3;4;4;4;4;4;3;4;4
2021-06-16 15:45:21.358737;COLOMBIA;;UNIVERSIDAD LIBRE ;MASCULINO;4;3;3;3;4;4;3;4;4;4;4;3
2021-06-16 15:55:55.587853;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;3;3;1;4;4;4;1;4;2;1;3;5
2021-06-16 15:46:22.150267;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;2;5;5;3;4;4;3;4;2;1;1;5
2021-06-17 05:10:06.649076;ARGENTINA;UNIVERSIDAD CATÓLICA ARGENTINA;;MASCULINO;5;5;5;5;5;5;1;4;5;4;1;5
2021-06-16 15:48:04.460081;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;5;4;4;4;4;4;2;2;4
2021-06-16 16:03:35.459608;ARGENTINA;UNIVERSIDAD CATÓLICA ARGENTINA;;FEMENINO;3;5;4;5;5;5;2;2;4;1;5;5
2021-06-16 16:08:38.815122;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;4;5;5;5;5;5;4;4;4;4;5;5
2021-06-17 05:47:49.787012;ARGENTINA;UNIVERSIDAD DE MENDOZA;;FEMENINO;4;5;4;5;5;2;4;3;3;4;4;5
2021-06-16 16:08:55.389485;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;5;5;5;5;5;5;4;5;1;1
2021-06-16 16:09:46.769370;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;MASCULINO;5;5;4;5;5;5;5;3;2;4;3;4
2021-06-17 06:07:12.231217;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;1;5;4;5;5;5;4;2;4;4;1;5
2021-06-16 16:14:18.614020;COLOMBIA;;UNIVERSIDAD LIBRE DE COLOMBIA;MASCULINO;4;5;3;4;4;4;4;2;1;3;1;4
2021-06-16 16:16:40.635906;ARGENTINA;UNIVERSIDAD DE MENDOZA;;OTRO;4;5;4;5;5;5;4;4;5;5;3;4
2021-06-16 16:18:58.413547;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;3;5;5;4;1;4;5;5;3;5
2021-06-16 16:19:20.697197;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;2;5;5;5;5;5;5;4;1;3;1;5
2021-06-16 16:19:33.933412;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;4;5;4;5;5;5;2;1;3;4;4;4
2021-06-16 16:21:30.825145;ARGENTINA;;UTN;MASCULINO;1;5;1;5;5;5;4;3;2;5;4;5
2021-06-16 16:23:44.889204;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;1;4;2;5;4;4;5;5;3;3;1
2021-06-16 16:24:43.976035;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;5;4;5;5;5;4;4;2;4;2;5
