MARCA TEMPORAL;PAÍS;UNIVERSIDAD;OTRA UNIVERSIDAD;GENERO UNIVERSIDAD;¿ESTÁ DE ACUERDO EN QUE SE HAYA MODIFICADO EL MÉTODO DE ESTUDIO PARA LAS CLASES VIRTUALES?;¿ESTÁ DE ACUERDO EN QUE LA CONCENTRACIÓN O ATENCIÓN CON EL ESTUDIO, FUERON ALTERADOS?;¿HA CAMBIADO SU CURIOSIDAD Y MOTIVACIÓN CIENTÍFICA CON LA PANDEMIA?;¿ESTÁ DE ACUERDO EN QUE LOS SENTIMIENTOS (AFECTOS, EMOCIONES) FUERON ALTERADOS POR LA PANDEMIA?;¿CONSIDERA QUE LA SALUD MENTAL PUEDE ALTERAR EL COMPORTAMIENTO EN TODO TIPO DE PERSONA?;¿CONSIDERA QUE SITUACIONES EXTERNAS, PUEDEN DESENCADENAR UN PROBLEMA DE SALUD MENTAL?;ME HE RELACIONADO CON ALGÚN TIPO DE ALTERACIÓN MENTAL EN EL TRANSCURSO DE LA PANDEMIA.;¿CONSIDERA QUE UNA PERSONA CON UNA ALTERACIÓN MENTAL, PUEDE REPRESENTAR UN RIESGO PARA LOS DEMÁS?;¿CONSIDERA QUE EL CONFINAMIENTO LE HA PROPORCIONADO OTRAS ALTERNATIVAS PARA SU NUEVO APRENDIZAJE?;¿ESTÁ DE ACUERDO EN QUE UNA ALTERACIÓN MENTAL, CAUSA RECHAZO SOCIAL?;CONTESTE LA SIGUIENTE PREGUNTA, SOLO SI USTED HA TENIDO UNA ALTERACIÓN EN SU SALUD MENTAL DURANTE LA PANDEMIA Y PUDO HABLAR/COMPARTIR LO QUE LE PASABA(AFECTOS EMOCIONES), CON SUS PARES O SUPERIORES.  ¿EL APOYO EMOCIONAL RECIBIDO DURANTE LA PANDEMIA (POR PARES O SUPERIORES), LE PERMITIÓ MANEJAR SU SALUD MENTAL?;¿CONSIDERA QUE LA PANDEMIA CAMBIÓ SU RENDIMIENTO ACADÉMICO COMO ESTUDIANTE?
2021-06-15 17:43:57.388890;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;5;5;5;5;5;3;2;3;5;3;4;4
2021-06-15 12:36:53.900883;BRASIL;CENTRO UNIVERSITARIO DO INSTITUTO MAUA DE TECNOLOGIA;;FEMENINO;2;2;2;2;2;1;3;2;4;2;5;2
2021-06-15 12:49:57.312661;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;MASCULINO;4;5;5;5;5;5;5;2;1;2;4;5
2021-06-15 12:50:08.190626;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;5;5;4;5;5;4;4;2;4;4;4;3
2021-06-15 16:53:56.231345;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;5;2;5;5;5;1;5;5;5;5;5
2021-06-15 12:50:26.608532;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;MASCULINO;2;5;4;5;5;5;5;2;4;3;4;5
2021-06-15 12:50:42.552364;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;3;5;3;5;5;5;1;5;5;5;3;2
2021-06-15 16:56:27.778082;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;3;4;1;5;5;5;4;5;3;4;3;5
2021-06-15 12:51:29.521337;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;2;4;3;4;5;4;3;2;2;4;3;5
2021-06-15 17:47:43.528551;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;MASCULINO;5;3;5;5;4;5;1;5;4;4;3;4
2021-06-15 12:52:40.332812;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;4;2;4;5;5;5;5;4;5;4;4;4
2021-06-15 17:49:56.755027;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;4;5;4;3;5;5;2;3;4;3;5;5
2021-06-15 12:55:34.669138;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;5;5;2;5;5;5;3;5;5;1;5;5
2021-06-15 17:52:47.190244;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;5;4;5;5;5;5;2;4;4;3;5
2021-06-15 12:56:14.649974;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;4;4;4;5;4;4;3;5;5;4;3;4
2021-06-15 12:56:16.953749;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;MASCULINO;3;5;5;5;5;4;2;3;4;4;4;4
2021-06-15 12:57:22.534014;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;MASCULINO;4;5;5;5;5;4;2;3;4;4;3;5
2021-06-15 12:58:16.950923;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;2;5;4;5;5;2;2;3;4;4;2;5
2021-06-15 12:59:24.175963;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;MASCULINO;4;4;3;3;5;4;1;2;4;4;3;4
2021-06-15 13:08:30.533643;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;MASCULINO;4;4;1;4;4;4;2;2;4;3;1;3
2021-06-15 17:03:31.967319;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;5;1;5;5;5;3;3;5;4;2;3
2021-06-15 15:22:54.982436;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;5;5;5;5;4;1;4;5;1;5
2021-06-15 13:20:04.701925;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;5;5;5;4;4;4;5;4;5
2021-06-15 15:26:49.113437;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;5;5;5;5;1;4;5;1;4
2021-06-15 13:20:06.931471;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;2;5;1;4;5;5;4;3;2;4;5;5
2021-06-15 13:20:23.096562;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;1;5;5;5;5;5;5;1;5;5;1;5
2021-06-15 13:20:49.588609;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;4;4;4;2;3;4;4;3;3
2021-06-15 15:35:31.208742;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;1;5;4;4;4;4;5;4;4;4;4;3
2021-06-15 13:20:55.234344;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;5;5;5;4;3;4;2;2;5
2021-06-15 13:21:04.292504;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;3;5;5;5;5;4;3;5;2;5
2021-06-15 13:21:12.327730;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;2;5;3;5;5;4;4;4;4;4;3;4
2021-06-15 15:47:26.676170;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;1;2;1;4;4;4;2;3;4;4;2;2
2021-06-15 13:21:15.460156;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;3;1;4;5;5;3;5;5;5;4;4
2021-06-15 13:21:24.510051;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;1;4;5;4;4;2;4;4;3;5
2021-06-15 13:21:25.661326;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;3;4;5;5;5;4;2;2;5;5;3
2021-06-15 17:24:01.094496;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;4;2;4;5;4;2;3;4;3;5;4
2021-06-15 13:21:28.070701;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;3;5;4;4;1;4;5;4;1;4
2021-06-15 15:58:53.631736;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;5;5;4;4;5;4;2;4;4;5
2021-06-15 13:21:39.904311;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;5;5;5;5;3;1;5;5;3;5
2021-06-15 13:21:47.813773;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;3;3;5;5;2;3;3;4;1;4
2021-06-15 16:06:51.898012;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;3;5;5;5;5;5;5;2;5;4;5;4
2021-06-15 13:21:55.021509;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;5;5;5;4;4;5;2;5;5;5
2021-06-15 16:09:58.046929;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;3;5;5;5;5;4;4;4;3;4;3
2021-06-15 13:22:12.176329;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;5;5;5;5;4;3;5;4;4;4
2021-06-15 13:22:26.114654;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;4;5;5;3;5;5;1;5;2;1;4
2021-06-15 16:15:43.102438;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;4;3;5;5;4;3;3;3;4;4;2
2021-06-15 17:34:36.571194;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;4;4;1;5;5;2;4;4;4;3;3
2021-06-15 13:22:49.201345;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;4;3;4;5;5;4;3;5;3;4;4
2021-06-15 16:22:44.873467;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;5;3;5;5;5;3;4;1;4;3;5
2021-06-15 13:22:50.200423;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;2;5;5;5;5;4;4;4;4;3
2021-06-15 13:23:00.244717;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;4;5;5;5;4;2;5;5;1;4
2021-06-15 13:23:10.155309;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;5;5;5;4;2;1;4;1;5;3
2021-06-15 13:23:10.618075;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;4;5;5;5;5;4;5;5;5;5
2021-06-15 13:23:16.691078;COLOMBIA;UNIVERSIDAD SANTO TOMAS;;MASCULINO;4;5;4;5;5;4;4;5;4;5;5;5
2021-06-15 13:23:16.721900;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;4;5;5;5;3;4;4;5;3;3
2021-06-15 16:40:47.306378;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;OTRO;4;5;5;5;5;4;5;4;4;5;1;5
2021-06-15 13:23:18.135812;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;2;4;4;4;4;4;4;2;2;3;5;5
2021-06-15 17:44:33.578452;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;4;4;4;4;4;4;4;2;4;4;3;3
2021-06-15 16:44:58.449016;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;1;1;3;3;2;1;3;3;3;3;1
2021-06-15 13:23:47.736462;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;5;5;5;5;1;4;5;5;5;4
2021-06-15 13:23:53.111606;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;4;4;4;3;3;4;4;2;4
2021-06-15 16:50:14.822446;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;2;4;5;5;5;5;4;2;2;4;1;4
2021-06-15 13:24:21.372007;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;2;4;5;5;5;5;4;4;4;2
2021-06-15 17:46:16.632362;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;3;4;4;4;5;5;3;4;5;3;3;5
2021-06-15 13:24:45.108770;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;4;5;5;5;5;2;4;2;2;5
2021-06-15 13:24:46.475220;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;4;5;5;5;5;4;3;2;3;4
2021-06-15 17:48:22.405349;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;5;2;5;4;4;1;5;2;1;1;5
2021-06-15 13:25:05.199932;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;3;4;5;4;2;2;3;3;4;3
2021-06-15 13:25:12.131444;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;5;5;5;5;1;1;5;2;5
2021-06-15 13:25:44.278112;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;2;2;5;5;5;4;4;4;4;4;4
2021-06-15 13:26:16.577717;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;5;5;4;4;2;1;5;4;5
2021-06-15 17:52:59.594897;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;5;5;4;5;4;4;3;3;2;4;4;3
2021-06-15 13:26:17.584314;ARGENTINA;;NINGUNA;FEMENINO;4;5;5;5;5;5;5;2;1;4;4;5
2021-06-15 17:57:07.898973;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;4;5;3;5;5;5;5;3;3;5;1;5
2021-06-15 18:02:20.374926;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;5;4;5;5;5;4;4;2;3;4;5
2021-06-15 18:05:35.188855;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;1;1;1;5;4;1;3;1;2;2;1
2021-06-15 18:06:15.353309;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;3;5;4;4;5;4;4;2;4;3;4;4
2021-06-15 18:09:33.685641;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;3;5;2;5;5;5;2;2;1;2;4;5
2021-06-15 13:26:17.767153;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;2;4;2;4;4;3;3;2;3;2;3;3
2021-06-15 13:26:23.508359;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;2;5;4;5;5;4;3;4;4;5;3;5
2021-06-15 15:09:28.304986;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;5;4;5;5;4;2;3;2;5;5
2021-06-15 13:27:20.991165;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;4;4;4;5;4;3;3;4;4
2021-06-15 13:27:46.377985;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;5;5;5;5;4;4;5;2;2;5
2021-06-15 15:19:15.722506;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;OTRO;5;5;5;5;5;5;4;4;4;4;2;5
2021-06-15 13:28:15.293899;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;1;5;5;5;3;3;4;3;2;4
2021-06-15 17:09:11.109681;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;5;4;4;5;5;2;3;3;4;3;4
2021-06-15 13:28:24.107418;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;4;5;4;5;5;5;5;4;2;5;4;5
2021-06-15 15:23:54.469258;ARGENTINA;;UNRN;MASCULINO;5;4;2;5;5;5;4;4;2;5;1;4
2021-06-15 13:28:32.143973;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;5;3;4;5;5;4;3;4;4;3;5
2021-06-15 13:29:46.069908;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;2;4;4;5;5;5;5;3;2;4;2;5
2021-06-15 13:29:48.292594;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;2;5;5;5;5;4;5;2;3;4;2;4
2021-06-15 17:12:39.170816;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;5;5;2;5;5;5;3;4;2;2;4
2021-06-15 13:29:53.003819;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;5;5;5;5;5;1;3;4;5;3;5
2021-06-15 15:29:21.577755;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;3;5;5;5;5;5;4;3;3;4;4;5
2021-06-15 13:30:05.650218;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;3;4;5;4;2;4;4;5;3;4
2021-06-15 13:30:14.406188;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;2;1;5;5;4;4;4;5;4;5;1
2021-06-15 15:33:25.769664;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;MASCULINO;4;5;5;5;4;3;4;5;2;4;4;5
2021-06-15 17:16:26.114079;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;5;5;5;4;3;2;2;4;3;4
2021-06-15 13:30:41.815721;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;2;4;3;4;4;4;3;5;4;5;3;3
2021-06-15 13:31:07.833672;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;5;4;5;4;3;4;3;2;4
2021-06-15 13:31:13.400116;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;2;5;5;4;5;4;1;2;4;4;1;5
2021-06-15 17:19:21.969336;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;2;5;5;5;5;5;4;2;4;2;4;5
2021-06-15 13:31:21.989669;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;3;4;5;4;4;3;4;3;4;4
2021-06-15 15:51:20.321105;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;1;5;5;5;5;4;2;4;3;4;3;5
2021-06-15 13:31:43.913277;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;3;3;5;5;5;2;1;3;3;1;4
2021-06-15 13:33:28.618103;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;4;5;4;4;2;3;5;3;4;5
2021-06-15 17:25:06.767768;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;5;4;4;3;3;4;3;3;3
2021-06-15 13:33:39.942039;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;1;5;5;5;5;4;4;5;2;5
2021-06-15 13:33:44.931382;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;2;4;4;5;5;5;5;5;4;4;5;4
2021-06-15 13:34:01.942848;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;1;1;2;4;5;5;5;5;5;1;5
2021-06-15 13:34:04.991808;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;5;5;5;5;4;4;4;4;5
2021-06-15 13:35:44.479616;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;3;3;5;5;4;3;3;3;4;3;5
2021-06-15 16:17:55.314280;ARGENTINA;UNIVERSIDAD NACIONAL DE LA RIOJA;;FEMENINO;4;5;4;5;5;5;4;4;4;4;4;5
2021-06-15 13:36:35.398513;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;4;4;5;4;2;4;5;3;3;4
2021-06-15 17:35:36.489386;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;2;1;4;5;5;1;3;5;4;5;2
2021-06-15 13:36:35.537618;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;1;5;5;5;5;5;5;5;2;5;1;5
2021-06-15 16:23:17.761473;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;2;5;3;5;5;5;5;2;4;4;4;2
2021-06-15 13:37:25.772284;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;1;5;1;5;5;4;1;2;1;3;2;5
2021-06-15 13:37:42.434342;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;1;4;1;5;5;4;4;4;4;4;2
