MARCA TEMPORAL;PAÍS;UNIVERSIDAD;OTRA UNIVERSIDAD;GENERO UNIVERSIDAD;LA PANDEMIA EXTENDIÓ MIS HORAS DE TRABAJO;DURANTE LA PANDEMIA MODIFIQUÉ LAS RUTINAS (INTERACCIÓN, ATENCIÓN, REUNIONES), DENTRO DE MI TRABAJO;LA CONCENTRACIÓN O ATENCIÓN EN EL TRABAJO FUERON ALTERADOS POR LA PANDEMIA.;HA PRESENTADO DIFICULTADES EN LAS RELACIONES LABORALES CON SU SUPERIOR DURANTE LA PANDEMIA;¿CONSIDERA QUE LA INTERACCIÓN VIRTUAL CON SUS JEFES, PUEDE CONTRIBUIR A SU SALUD MENTAL?.;¿ESTÁ DE ACUERDO EN QUE LOS SENTIMIENTOS (AFECTOS, EMOCIONES) FUERON ALTERADOS POR LA PANDEMIA?;CONSIDERO QUE EL EQUILIBRIO MENTAL, CONTRIBUYE AL RENDIMIENTO LABORAL. *;HE TENIDO QUE INTERACTUAR DURANTE LA PANDEMIA, CON PERSONAS QUE PRESENTAN FACTORES DE RIESGO MENTAL.;¿CONSIDERA QUE LOS PROCESOS DE PREVENCIÓN, DISMINUYEN EL NÚMERO DE CASOS DE ALTERACIONES MENTALES DURANTE LA PANDEMIA?;HE VISTO UN AVANCE SIGNIFICATIVO DURANTE LA PANDEMIA EN LOS TEMAS DE SALUD MENTAL, COMO UNA PRIORIDAD GLOBAL;HE USADO ESTRATEGIAS DE AUTOCUIDADO MENTAL (MEDITACIÓN, ACTIVIDAD FÍSICA, ETC), PORQUE CONSIDERO QUE CONTRIBUYEN A LA SALUD MENTAL. *;CONTESTE LA SIGUIENTE PREGUNTA, SOLO SI USTED HA TENIDO UNA ALTERACIÓN EN SU SALUD MENTAL DURANTE LA PANDEMIA Y PUDO HABLAR/COMPARTIR LO QUE LE PASABA(AFECTOS EMOCIONES), CON SUS PARES O SUPERIORES.  ¿EL APOYO EMOCIONAL RECIBIDO DURANTE LA PANDEMIA (POR PARES O SUPERIORES), LE PERMITIÓ MANEJAR SU SALUD MENTAL?
2021-06-15 14:13:08.467862;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;4;3;3;3;3;5;3;4;3;3;3
2021-06-15 14:15:20.957695;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;2;5;5;1;5;4;5;4;4;1;4;2
2021-06-15 14:25:42.993546;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;5;1;5;5;5;5;5;5;4;3
2021-06-15 14:35:06.844061;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;5;5;5;4;4;5;5;4;3;5;5
2021-06-15 18:42:30.541333;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;3;4;2;1;3;4;3;1;4;4;4;3
2021-06-15 18:24:54.672180;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;3;2;4;4;4;4;4;4;5;3
2021-06-15 18:35:09.915786;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;5;3;5;4;4;2;4;4;5
2021-06-15 18:55:17.631695;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;4;1;3;5;5;4;5;2;4;3
2021-06-15 18:59:04.056766;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;5;3;1;3;5;5;2;2;2;4;3
2021-06-15 19:12:32.875834;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;5;4;1;4;4;5;3;5;3;5;4
2021-06-15 19:22:10.464184;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;1;1;5;1;5;4;4;1;5;1
2021-06-15 19:36:10.950466;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;4;1;2;4;4;1;3;3;3;3
2021-06-15 20:04:12.394104;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;4;5;5;3;5;4;5;5;5;2
2021-06-15 20:36:44.203142;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;3;5;4;1;3;4;4;3;5;4;4;3
2021-06-16 05:53:42.971832;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;4;2;2;4;5;4;4;1;5;4
2021-06-16 06:01:31.217551;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;4;4;4;5;5;4;3;3;5;1
2021-06-16 06:13:11.915210;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;3;3;4;3;5;1;3;3;4;3
2021-06-16 06:24:08.508876;ARGENTINA;UNIVERSIDAD NACIONAL DEL SUR;;MASCULINO;4;5;4;1;3;5;5;4;4;4;3;3
2021-06-16 06:35:00.553870;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;2;1;2;3;5;5;4;3;5;1
2021-06-16 06:44:09.576702;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;4;4;2;4;5;4;4;4;5;3
2021-06-15 22:17:00.849696;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;4;5;1;5;5;5;4;4;5;5;4
2021-06-15 22:56:54.537642;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;5;4;1;1;4;5;3;3;3;3;3
2021-06-16 06:56:22.085311;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;3;5;5;5;3;5;4;3;3;4;5;2
2021-06-16 07:02:06.926441;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;3;4;4;2;3;3;4;3;3;3;5;3
2021-06-16 07:04:36.614086;ARGENTINA;UNIVERSIDAD DE MENDOZA;;MASCULINO;4;3;3;2;4;4;4;3;3;3;4;3
2021-06-16 07:24:40.634690;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;4;4;4;4;4;4;5;5;5;5
2021-06-16 07:25:33.333476;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;3;4;3;4;3;4;4;4;4;2;4;1
2021-06-16 07:56:01.474336;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;2;1;3;4;5;1;3;3;4;3
2021-06-16 08:03:40.063980;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;4;4;2;4;5;5;2;5;4;5;3
2021-06-16 08:04:39.741497;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;5;4;2;3;5;5;3;5;2;4;2
2021-06-16 08:45:27.593434;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;2;2;2;2;2;5;4;3;4;4;5;5
2021-06-16 08:46:34.083705;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;5;4;3;3;5;5;5;4;5;5;3
2021-06-16 09:07:56.681910;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;2;3;1;1;1;1;5;1;2;2;5;4
2021-06-16 09:08:53.049821;ARGENTINA;UNIVERSIDAD NACIONAL DEL LITORAL;;FEMENINO;4;5;4;2;3;4;5;3;4;3;4;4
2021-06-16 09:17:58.362466;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;3;2;5;5;4;3;2;4;2
